patent_id,issued_date,# of citations made_all,# of citations made_applicant,year,# of citations received
D674253,2006-04-01,1,0,2006,1
D809697,1934-06-01,1,0,1934,1
D808172,2007-04-01,1,1,2007,1
8683318,2003-11-01,1,0,2003,1
10456544,1943-04-01,1,1,1943,1
8250307,2008-06-01,1,0,2008,1
D490798,1961-06-01,1,0,1961,1
9199394,1993-09-01,1,1,1993,1
10796471,2010-01-01,4,1,2003,1
10796471,2010-01-01,4,1,2006,1
10796471,2010-01-01,4,1,2010,1
10796471,2010-01-01,4,1,2012,1
7398575,1990-01-01,1,0,1990,1
D677391,2012-05-01,1,0,2012,1
9575510,2001-11-01,1,1,2001,1
7051923,2001-01-01,1,0,2001,1
D714588,1981-04-01,1,0,1981,1
7905900,1994-08-01,2,0,1991,1
7905900,1994-08-01,2,0,1994,1
10688280,2016-06-01,1,1,2016,1
D838082,1989-01-01,1,0,1989,1
7450915,2000-01-01,1,0,2000,1
8431384,2001-06-01,1,1,2001,1
D908943,2020-04-01,1,0,2020,1
10025801,2003-08-01,1,1,2003,1
8393702,1987-09-01,1,1,1987,1
8083192,1993-07-01,1,0,1993,1
9869441,2007-09-01,1,1,2007,1
10182844,1999-03-01,1,1,1999,1
6524488,1991-12-01,1,0,1991,1
7938596,2003-02-01,1,0,2003,1
7467440,1966-08-01,1,0,1966,1
D755662,2015-03-01,1,1,2015,1
8462204,2000-12-01,3,1,1995,1
8462204,2000-12-01,3,1,2000,1
8462204,2000-12-01,3,1,2006,1
6618603,1980-06-01,1,0,1980,1
7558551,2002-07-01,1,0,2002,1
8149326,2000-10-01,1,0,2000,1
7464473,1997-04-01,1,0,1997,1
8070796,2003-03-01,1,0,2003,1
9821832,2000-08-01,1,1,2000,1
10082299,1985-02-01,1,1,1985,1
10801415,1974-07-01,1,1,1974,1
8949769,2002-05-01,1,0,2002,1
6592749,1993-04-01,1,0,1993,1
7958589,2004-10-01,1,0,2004,1
7556093,2005-08-01,1,0,2005,1
8885639,2010-05-01,1,1,2010,1
10706731,1999-09-01,1,1,1999,1
10708253,2011-06-01,1,1,2011,1
7501842,1995-12-01,1,0,1995,1
8672848,1994-07-01,1,1,1994,1
7127845,1999-05-01,1,0,1999,1
9757533,1978-07-01,1,1,1978,1
7380522,2005-04-01,1,0,2005,1
8377108,1988-09-01,1,1,1988,1
8573907,1991-09-01,1,1,1991,1
7921679,2007-10-01,1,0,2007,1
D866800,2000-03-01,1,1,2000,1
10744000,1994-12-01,2,1,1994,1
10744000,1994-12-01,2,1,2016,1
10020711,2001-03-01,1,1,2001,1
7735732,2000-09-01,1,0,2000,1
7365871,2003-01-01,1,0,2003,1
7998176,1996-09-01,1,0,1996,1
PP32307,2000-11-01,1,1,2000,1
7076980,1980-02-01,1,0,1980,1
10258197,2003-04-01,1,1,2003,1
9124520,2002-05-01,1,1,2002,1
D559985,1985-10-01,1,0,1985,1
10007895,2006-10-01,1,1,2006,1
8004650,2009-12-01,1,0,2009,1
9834239,1974-08-01,1,0,1974,1
8591971,1992-11-01,1,1,1992,1
10644731,1989-05-01,1,0,1989,1
6993032,2003-06-01,1,0,2003,1
9650934,2006-08-01,1,1,2006,1
10322040,2013-10-01,1,1,2013,1
9073269,1995-02-01,1,1,1995,1
9958987,1989-07-01,1,1,1989,1
9700171,1999-02-01,1,1,1999,1
11007950,1995-01-01,1,0,1995,1
8007374,2002-11-01,1,0,2002,1
10417831,2016-10-01,1,1,2016,1
8841507,2002-02-01,1,1,2002,1
D788334,2016-06-01,1,0,2016,1
8640838,1979-09-01,1,1,1979,1
7689799,2000-09-01,1,0,2000,1
10149712,1995-06-01,1,1,1995,1
10026825,2011-04-01,1,0,2011,1
D922799,1884-12-01,1,1,1884,1
9799330,2002-01-01,1,1,2002,1
9615828,1998-07-01,1,1,1998,1
9678989,2007-12-01,1,1,2007,1
9311067,2001-06-01,1,0,2001,1
8113943,1998-12-01,1,0,1998,1
D606279,2006-10-01,1,0,2006,1
9268510,2010-02-01,1,1,2010,1
D738482,2004-10-01,1,0,2004,1
8318788,2001-09-01,2,0,2000,1
8318788,2001-09-01,2,0,2001,1
10115291,2011-08-01,1,1,2011,1
9975224,2015-08-01,1,0,2015,1
8452068,1995-02-01,1,1,1995,1
D575113,2004-08-01,1,0,2004,1
10033759,2013-08-01,2,1,2013,1
10033759,2013-08-01,2,1,2014,1
9337874,2001-06-01,1,0,2001,1
7207055,1991-07-01,1,0,1991,1
7820922,1946-01-01,1,0,1946,1
7699392,1895-01-01,2,0,1895,1
7699392,1895-01-01,2,0,1994,1
